pajek,subd_id,subd_name,disc_id,x,y,size,
294,443,Sexually Transmitted Diseases,10,3.41,-1.39,3.59,
484,444,Engineering Education,13,5.73,-1.44,3.37,
418,445,NeuroImmunology,8,4.41,-1.58,4.71,
15,446,Machine Learning,7,0.24,-1.73,3.1,
432,447,Geratric Nursing,12,4.54,-2.25,3.28,
123,448,Sensors & Actuators,4,1.29,-1.97,4.87,
268,449,Systematics & Evolutionary Microbiology,2,3.01,-1.16,3.15,
52,450,Medical Image Processing,7,0.54,-1.99,5.89,
403,451,Medical Education,12,4.22,-2.15,6.38,
402,452,Magnetic Resonance Imagery,8,4.22,-1.51,4.52,
414,453,Hospital Management,12,4.35,-2.39,3.26,
261,454,Insect Physiology,1,2.88,-0.78,3.75,
64,455,Power Transmission,7,0.65,-1.95,6.95,
260,456,Food Engineering,2,2.86,-1.39,3.31,
395,457,Oral Surgery,12,4.17,-1.93,3.96,
25,458,Computer Systems Theory,7,0.36,-1.74,2.31,
125,459,Combustion,4,1.34,-1.67,3.04,
321,460,Dermatological Surgery,3,3.74,-1.77,3.38,
235,461,Wildlife Research,1,2.55,-0.72,2.3,
443,462,Midwifery,12,4.7,-2.31,2.74,
91,463,Physics; Current Developments,11,0.97,-2.23,8.35,
469,464,Pychiatric & Behavioral Genetics,13,5.25,-1.58,2.12,
117,465,Fractures & Fatigue,4,1.25,-2,3.37,
410,466,Emergency Medicine,12,4.31,-1.89,3.86,
493,467,Cross Disciplinary Studies,9,5.86,-0.57,1.88,
202,468,Archeological Science,6,2.2,-0.59,2.33,
416,469,Preventive Medicine,12,4.38,-2.17,3.01,
167,470,Carbon,5,1.76,-2.09,4.09,
328,471,Gynecology Oncology,3,3.8,-1.48,3.16,
470,472,Psychosomatic Medicine,13,5.27,-1.69,2.28,
393,473,Pharmaco Economics,12,4.14,-2.08,2.34,
26,474,Computer Modeling and Animation,7,0.37,-1.95,2.17,
415,475,Medical Practice,12,4.36,-2.33,3.23,
12,476,Cancer Statistics,11,0.17,-1.84,2.6,
461,477,Consciousness,8,5.05,-1.61,1.68,
397,478,Otolyngology; Head Neck,12,4.18,-1.61,3.06,
370,479,Heart Failure; Catheters,3,4.02,-1.7,3.24,
157,480,Wood Components,4,1.62,-1.92,1.83,
54,481,Circuits,7,0.54,-1.89,1.97,
110,482,Friction Lubrication & Wear,4,1.21,-2.12,2.73,
90,483,Superconductor Science,11,0.96,-2.11,6.18,
67,484,Antennae; Mobile Radio,7,0.65,-1.98,2.74,
419,485,Headache,8,4.41,-1.68,2.41,
551,486,Operations Management,13,6.11,-1.58,1.84,
230,487,Fish Biology,1,2.5,-0.68,2.19,
515,488,Social History,9,5.9,-0.66,2.17,
49,489,Consumer Electronics,7,0.49,-1.85,2.54,
317,490,Menopause,3,3.72,-1.78,1.9,
